-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1984 through 12/31/2020 
Location: Latitude  35.0309   Longitude 24.8335 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 253.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M_MIN,T2M_MAX,T2M,ALLSKY_SFC_SW_DWN
1984,4,12,0.02,12.09,17.29,14.77,6.24
1984,4,13,0.03,12.41,18.44,15.23,6.59
1984,4,14,2.9,11.99,16.94,14.02,6.46
1984,4,15,5.87,11.45,14.53,13.15,3.69
1984,4,16,0.0,12.5,16.99,14.55,6.38
1984,4,17,0.02,12.12,16.83,14.28,3.99
1984,4,18,0.16,12.6,17.85,14.78,3.34
1984,4,19,0.22,11.41,15.94,13.47,5.04
1984,4,20,3.27,11.03,14.71,12.64,6.79
1984,4,21,0.0,10.64,15.73,12.78,6.69
1984,4,22,3.91,9.7,14.29,11.84,2.02
1984,4,23,1.85,10.07,13.58,11.77,6.0
1984,4,24,0.0,9.55,16.62,13.12,7.08
1984,4,25,1.31,11.4,17.29,14.37,6.71
1984,4,26,0.9,11.48,18.57,15.01,6.0
1984,4,27,0.9,10.15,17.58,13.87,6.8
1984,4,28,0.0,11.15,19.01,15.4,7.17
1984,4,29,0.0,12.88,18.55,15.74,6.98
1984,4,30,0.0,12.26,18.2,15.25,6.79
1984,5,1,0.07,13.23,18.52,15.65,5.58
1984,5,2,0.08,13.95,23.78,17.8,7.02
1984,5,3,0.0,13.94,19.9,16.62,7.25
1984,5,4,0.0,13.27,20.91,16.69,6.42
1984,5,5,0.02,13.12,22.76,17.88,6.25
1984,5,6,0.03,15.33,22.98,19.03,7.45
1984,5,7,0.0,14.05,20.58,17.37,7.42
1984,5,8,0.0,14.97,23.13,19.29,7.52
1984,5,9,0.0,15.65,21.05,18.39,6.6
1984,5,10,0.01,15.2,20.37,17.85,5.64
1984,5,11,0.37,15.6,19.04,17.44,5.35
1984,5,12,0.33,15.97,25.35,20.19,4.97
1984,5,13,0.0,14.59,21.99,18.22,7.55
1984,5,14,0.0,14.54,21.95,18.44,7.59
1984,5,15,0.0,15.34,22.85,18.94,7.6
1984,5,16,0.04,16.97,20.75,18.55,3.32
1984,5,17,0.01,17.17,21.64,19.53,4.33
1984,5,18,0.39,17.11,25.3,21.8,5.91
1984,5,19,0.0,19.61,26.83,22.98,6.92
1984,5,20,0.0,20.72,30.43,24.22,6.76
1984,5,21,0.01,19.55,23.75,21.72,6.91
1984,5,22,0.0,17.95,26.1,21.68,7.67
1984,5,23,0.0,18.31,28.28,23.08,7.68
1984,5,24,0.36,18.15,23.19,20.73,5.62
1984,5,25,0.17,17.15,25.09,20.5,7.88
1984,5,26,0.03,16.37,24.4,20.37,7.75
1984,5,27,0.0,18.33,25.07,21.5,8.15
1984,5,28,0.01,17.12,23.82,20.33,4.8
1984,5,29,0.02,17.35,26.12,21.42,7.83
1984,5,30,0.0,18.12,27.38,22.54,7.92
1984,5,31,0.05,18.27,27.27,22.76,5.98
1984,6,1,0.09,17.96,23.83,21.57,4.67
1984,6,2,0.0,16.88,24.14,20.32,7.62
1984,6,3,0.0,17.63,24.78,21.38,7.46
1984,6,4,0.0,18.63,26.26,22.7,7.56
1984,6,5,0.0,19.93,28.44,24.4,7.8
1984,6,6,0.0,21.9,30.26,25.8,7.86
1984,6,7,0.0,21.37,32.27,27.35,7.83
1984,6,8,0.0,21.83,32.13,26.01,7.39
1984,6,9,0.0,18.02,27.34,22.92,7.54
1984,6,10,0.0,18.76,27.34,22.83,7.61
1984,6,11,0.0,18.33,26.15,22.41,8.16
1984,6,12,0.0,17.81,26.69,22.62,8.07
1984,6,13,0.0,17.86,25.4,21.27,7.68
1984,6,14,0.0,17.35,20.65,18.86,8.16
1984,6,15,0.0,16.36,23.83,20.05,8.01
1984,6,16,0.0,16.75,25.76,21.41,7.99
1984,6,17,0.0,18.33,26.62,22.64,7.98
1984,6,18,0.0,19.24,27.01,23.01,7.62
1984,6,19,0.0,19.6,25.69,22.44,7.2
1984,6,20,0.0,18.83,23.65,21.03,7.76
1984,6,21,0.0,18.64,24.67,21.73,7.78
1984,6,22,0.0,19.76,29.24,25.02,7.09
1984,6,23,0.0,20.3,28.76,24.35,7.45
1984,6,24,0.0,19.78,28.37,24.44,7.5
1984,6,25,0.0,20.23,27.04,24.12,7.83
1984,6,26,0.0,19.83,27.62,23.31,7.28
1984,6,27,0.0,19.16,24.49,21.68,7.85
1984,6,28,0.0,18.93,24.33,21.4,8.06
1984,6,29,0.0,17.85,25.76,21.93,8.12
1984,6,30,0.0,19.07,30.74,25.15,7.94
1984,7,1,0.0,21.66,29.36,25.44,8.16
1984,7,2,0.0,21.03,28.87,24.65,7.74
1984,7,3,0.0,20.76,30.23,26.26,6.9
1984,7,4,0.0,23.38,33.3,28.23,7.87
1984,7,5,0.0,21.38,30.05,25.36,7.51
1984,7,6,0.0,20.29,28.01,24.21,7.6
1984,7,7,0.0,20.01,26.83,23.19,7.32
1984,7,8,0.0,19.33,26.68,23.12,7.66
1984,7,9,0.0,19.34,22.8,21.05,7.2
1984,7,10,0.0,19.51,25.16,22.23,8.06
1984,7,11,0.0,19.96,26.51,23.32,8.01
1984,7,12,0.0,20.9,27.18,24.09,8.01
1984,7,13,0.0,21.1,26.36,23.68,7.77
1984,7,14,0.0,20.62,26.9,23.62,7.94
1984,7,15,0.0,20.65,28.36,24.43,7.66
1984,7,16,0.0,22.12,33.74,28.21,7.29
1984,7,17,0.0,25.06,34.68,29.73,7.39
1984,7,18,0.0,24.16,31.9,27.86,7.6
1984,7,19,0.0,21.8,28.9,25.05,7.51
1984,7,20,0.0,21.37,27.21,23.99,7.38
1984,7,21,0.0,20.55,26.66,23.31,7.67
1984,7,22,0.0,20.42,27.55,23.87,7.38
1984,7,23,0.0,20.69,27.1,23.69,7.63
1984,7,24,0.0,20.4,27.65,23.98,7.66
1984,7,25,0.0,20.87,29.67,25.4,7.13
1984,7,26,0.0,21.14,27.92,24.19,7.15
1984,7,27,0.0,21.08,33.2,27.06,6.48
1984,7,28,0.0,20.83,27.57,24.24,7.02
1984,7,29,11.81,19.55,22.63,20.55,4.89
1984,7,30,0.0,19.57,23.83,21.5,7.29
1984,7,31,0.0,19.16,25.14,21.9,7.46
1984,8,1,0.0,19.23,26.85,22.86,7.38
1984,8,2,0.0,19.73,28.25,23.91,7.5
1984,8,3,0.0,20.4,28.45,24.39,7.37
1984,8,4,0.0,21.23,28.94,24.44,7.28
1984,8,5,0.0,21.12,26.08,23.42,7.38
1984,8,6,0.0,20.97,26.29,23.31,7.06
1984,8,7,0.0,20.38,27.65,23.67,7.02
1984,8,8,0.0,19.81,28.17,24.09,6.98
1984,8,9,0.0,20.83,29.75,25.19,6.91
1984,8,10,0.0,20.62,29.37,24.79,6.75
1984,8,11,0.0,21.46,29.55,24.94,6.94
1984,8,12,0.0,21.57,32.28,27.04,7.03
1984,8,13,0.0,23.6,30.89,27.23,6.97
1984,8,14,0.0,23.22,31.13,27.21,6.72
1984,8,15,0.0,22.19,29.73,25.99,6.9
1984,8,16,0.0,20.98,27.93,24.28,6.74
1984,8,17,0.0,21.13,27.76,24.23,6.73
1984,8,18,0.0,21.01,27.89,24.24,6.72
1984,8,19,0.01,21.11,27.97,24.38,6.56
1984,8,20,0.0,20.83,27.05,23.65,6.45
1984,8,21,0.0,20.4,27.51,23.96,6.51
1984,8,22,0.0,20.34,26.05,22.91,6.33
1984,8,23,0.0,20.55,26.2,23.03,6.62
1984,8,24,0.0,20.47,27.71,23.55,6.66
1984,8,25,0.0,20.99,30.15,25.23,5.64
1984,8,26,0.0,21.51,28.83,25.07,6.54
1984,8,27,0.0,21.58,28.23,24.59,6.72
1984,8,28,0.0,21.51,27.12,24.05,6.21
1984,8,29,0.0,20.39,25.87,22.69,6.04
1984,8,30,0.0,19.8,26.66,22.72,6.07
1984,8,31,0.0,19.27,26.86,22.58,6.02
1984,9,1,0.01,19.44,25.55,22.11,5.85
1984,9,2,0.0,19.18,26.1,22.36,6.1
1984,9,3,0.0,20.06,27.72,23.52,6.35
1984,9,4,0.0,20.07,28.32,23.73,6.48
1984,9,5,0.0,19.71,28.45,23.88,6.39
1984,9,6,0.0,20.58,28.61,24.29,6.35
1984,9,7,0.0,20.77,28.08,23.89,6.33
1984,9,8,0.0,20.23,29.08,24.44,6.12
1984,9,9,0.0,21.15,30.58,25.58,5.77
1984,9,10,0.0,22.42,29.4,25.53,6.1
1984,9,11,0.0,20.51,27.37,24.24,6.22
1984,9,12,0.0,21.31,28.13,24.73,5.97
1984,9,13,0.0,21.23,27.55,23.78,5.97
1984,9,14,0.0,20.58,27.08,23.55,5.92
1984,9,15,0.0,20.48,27.94,24.1,6.16
1984,9,16,0.0,21.41,28.46,24.89,5.92
1984,9,17,0.0,21.62,27.64,24.51,5.8
1984,9,18,0.0,20.62,30.28,25.43,5.74
1984,9,19,0.0,22.24,29.45,25.94,5.59
1984,9,20,0.0,21.75,30.34,25.96,5.09
1984,9,21,0.09,22.73,29.99,26.34,4.07
1984,9,22,0.0,21.48,27.97,24.45,5.68
1984,9,23,0.0,20.67,28.0,24.14,5.64
1984,9,24,0.0,20.67,27.8,24.14,5.47
1984,9,25,0.0,20.22,29.3,24.34,5.33
1984,9,26,0.03,21.26,30.31,25.01,5.22
1984,9,27,0.0,18.51,25.57,21.69,5.63
1984,9,28,0.01,17.44,24.62,20.82,5.28
1984,9,29,0.0,18.63,25.15,21.56,5.41
1984,9,30,0.01,18.14,25.58,21.71,4.93
1984,10,1,0.01,19.37,27.25,22.83,4.69
1984,10,2,0.05,20.76,28.61,24.94,4.73
1984,10,3,0.0,22.39,28.49,25.44,5.0
1984,10,4,0.0,22.15,29.53,25.17,5.3
1984,10,5,0.0,21.28,30.77,25.63,5.06
1984,10,6,0.0,22.11,31.65,26.78,4.88
1984,10,7,0.0,23.88,30.76,26.9,4.75
1984,10,8,0.0,22.28,29.92,26.1,4.89
1984,10,9,0.0,21.82,30.73,25.55,4.64
1984,10,10,0.0,20.65,28.6,23.57,4.46
1984,10,11,0.0,20.31,27.68,23.26,4.56
1984,10,12,0.0,19.69,25.91,22.25,4.62
1984,10,13,0.0,18.3,26.62,22.19,4.19
1984,10,14,0.0,19.12,25.14,21.83,4.25
1984,10,15,0.04,19.29,23.26,21.23,3.82
1984,10,16,0.05,19.41,24.38,21.48,3.78
1984,10,17,7.84,15.71,19.89,18.14,0.28
1984,10,18,0.11,13.76,17.82,15.56,3.2
1984,10,19,0.0,13.22,20.84,17.41,4.45
1984,10,20,0.05,16.14,21.48,18.76,4.18
1984,10,21,0.0,17.74,23.97,20.7,4.15
1984,10,22,0.0,18.68,24.69,21.24,4.2
1984,10,23,0.03,18.05,24.51,20.88,4.1
1984,10,24,0.0,18.06,24.48,20.8,3.92
1984,10,25,0.0,17.81,23.76,20.2,3.76
1984,10,26,0.0,17.3,23.22,19.79,3.73
1984,10,27,0.47,17.23,23.87,20.04,3.92
1984,10,28,0.0,16.69,23.01,19.32,3.85
1984,10,29,0.0,16.53,21.73,18.55,3.38
1984,10,30,0.07,16.6,21.74,18.61,3.4
1984,10,31,3.84,15.08,18.76,16.73,2.92
1984,11,1,49.84,13.57,15.87,14.6,0.9
1984,11,2,20.35,15.06,17.3,15.92,0.93
1984,11,3,20.03,15.2,17.37,16.32,2.06
1984,11,4,19.09,15.36,17.92,16.44,1.67
1984,11,5,2.08,15.58,18.76,17.13,2.77
1984,11,6,0.03,17.42,20.45,18.75,3.46
1984,11,7,0.06,17.24,20.3,18.74,3.4
1984,11,8,0.01,16.8,20.56,18.24,3.57
1984,11,9,0.03,15.94,21.08,17.98,3.26
1984,11,10,0.03,14.51,19.78,16.62,3.53
1984,11,11,0.0,14.28,20.19,17.0,3.37
1984,11,12,0.01,14.03,18.71,16.7,2.69
1984,11,13,7.19,12.26,15.05,13.55,0.36
1984,11,14,5.81,11.6,15.87,13.52,1.07
1984,11,15,2.5,10.89,16.6,13.82,1.18
1984,11,16,6.22,14.44,18.65,16.75,1.73
1984,11,17,0.33,13.29,18.69,16.09,3.24
1984,11,18,0.03,15.89,19.8,17.73,1.9
1984,11,19,0.0,15.83,20.87,17.63,3.47
1984,11,20,0.03,15.65,20.08,17.51,3.42
1984,11,21,4.36,15.3,17.01,16.16,2.09
1984,11,22,0.07,14.03,18.17,15.81,2.15
1984,11,23,1.09,12.93,16.53,14.26,2.54
1984,11,24,0.0,12.93,19.33,16.05,2.81
1984,11,25,0.02,15.3,19.74,17.42,3.21
1984,11,26,0.03,16.05,19.23,17.35,3.13
1984,11,27,0.01,15.47,18.44,16.6,2.35
1984,11,28,0.01,15.81,18.26,16.88,2.22
1984,11,29,0.0,11.12,16.3,13.87,2.92
1984,11,30,0.03,10.43,16.17,13.19,2.25
1984,12,1,2.76,12.99,14.64,13.65,0.91
1984,12,2,1.2,12.3,15.19,13.32,1.38
1984,12,3,0.01,11.95,15.71,13.54,2.22
1984,12,4,10.92,12.23,15.79,13.81,0.46
1984,12,5,0.0,9.92,13.42,11.78,1.49
1984,12,6,0.0,9.75,14.27,11.4,1.22
1984,12,7,0.05,9.36,14.19,11.57,0.83
1984,12,8,0.0,10.41,13.87,11.94,1.25
1984,12,9,0.0,9.98,16.04,12.27,2.66
1984,12,10,0.03,10.15,14.61,12.4,3.01
1984,12,11,0.97,12.58,15.44,13.92,2.52
1984,12,12,2.26,9.85,14.94,12.52,1.85
1984,12,13,3.47,7.51,11.01,8.98,2.21
1984,12,14,1.17,8.32,15.49,12.12,0.65
1984,12,15,2.15,12.43,17.1,14.69,2.78
1984,12,16,0.22,11.08,14.84,12.94,2.39
1984,12,17,0.0,11.03,14.84,12.87,3.01
1984,12,18,0.0,12.53,16.05,13.9,1.56
1984,12,19,0.03,12.08,14.51,13.2,1.85
1984,12,20,0.13,12.09,15.58,13.31,2.22
1984,12,21,0.7,11.5,13.55,12.51,1.66
1984,12,22,14.27,10.8,13.32,11.95,1.29
1984,12,23,47.53,11.14,13.95,12.46,0.55
1984,12,24,9.34,10.57,15.16,12.73,1.79
1984,12,25,6.42,13.24,14.77,13.94,2.75
1984,12,26,0.71,11.35,14.69,13.04,2.38
1984,12,27,0.14,12.17,14.69,13.29,2.74
1984,12,28,0.0,11.94,15.29,13.43,2.98
1984,12,29,3.7,12.07,15.48,13.57,1.94
1984,12,30,20.17,11.27,14.74,13.56,0.73
1984,12,31,4.19,10.18,12.48,11.22,1.54
1985,1,1,0.35,8.98,11.45,10.45,1.34
1985,1,2,0.04,8.41,11.23,10.12,2.88
1985,1,3,1.7,11.21,14.1,12.81,1.99
1985,1,4,3.39,12.45,14.76,13.34,2.41
1985,1,5,1.05,10.92,15.4,13.15,2.96
1985,1,6,0.14,12.22,15.48,13.73,3.05
1985,1,7,24.39,12.59,17.01,14.23,2.96
1985,1,8,0.0,12.19,17.05,14.36,2.65
1985,1,9,4.83,12.75,17.29,15.3,1.32
1985,1,10,2.37,10.63,13.34,11.73,2.66
1985,1,11,0.08,9.44,12.98,10.83,2.62
1985,1,12,0.14,8.16,11.11,9.5,1.24
1985,1,13,2.73,8.65,12.69,10.37,1.34
1985,1,14,12.57,11.13,15.12,13.35,2.85
1985,1,15,0.22,9.41,13.41,11.63,2.07
1985,1,16,0.17,7.94,11.03,9.72,1.58
1985,1,17,38.65,11.04,14.47,12.57,0.27
1985,1,18,3.84,10.33,12.33,11.36,1.46
1985,1,19,0.76,9.8,13.59,12.12,2.88
1985,1,20,5.3,11.37,13.98,12.43,2.96
1985,1,21,2.1,10.11,14.08,12.12,3.06
1985,1,22,0.0,11.05,13.89,12.62,3.25
1985,1,23,0.0,11.81,15.8,13.45,3.54
1985,1,24,0.0,11.51,15.73,13.35,3.5
1985,1,25,0.0,11.33,15.72,13.22,2.35
1985,1,26,0.0,12.54,15.02,13.74,1.73
1985,1,27,0.02,12.26,15.98,13.73,3.63
1985,1,28,6.35,11.7,14.3,12.98,3.01
1985,1,29,6.18,11.37,13.05,11.98,1.47
1985,1,30,3.41,6.48,11.7,8.77,0.9
1985,1,31,7.23,6.62,9.79,8.15,0.87
1985,2,1,0.04,7.8,11.22,9.26,1.87
1985,2,2,0.0,7.91,13.05,10.58,3.71
1985,2,3,0.07,9.92,16.55,13.37,3.73
1985,2,4,0.46,7.34,15.04,11.36,1.55
1985,2,5,0.1,5.55,10.48,8.26,3.84
1985,2,6,0.01,7.83,13.82,10.89,3.61
1985,2,7,1.91,10.84,13.51,12.15,0.99
1985,2,8,0.0,10.37,16.05,13.12,4.17
1985,2,9,0.0,10.75,15.49,12.67,3.74
1985,2,10,0.04,11.28,15.69,13.21,3.72
1985,2,11,0.0,11.45,16.37,13.52,3.62
1985,2,12,0.53,12.05,16.06,13.82,3.05
1985,2,13,11.03,12.14,14.65,13.1,2.07
1985,2,14,1.39,7.55,12.58,9.77,1.62
1985,2,15,0.2,6.31,9.04,7.38,3.2
1985,2,16,0.0,7.44,16.81,12.5,4.54
1985,2,17,0.02,8.78,11.52,10.26,3.35
1985,2,18,0.0,9.69,17.38,14.02,4.33
1985,2,19,0.96,11.02,16.37,13.4,1.17
1985,2,20,2.84,6.6,11.45,9.55,0.34
1985,2,21,0.13,5.92,8.33,7.15,2.01
1985,2,22,0.09,7.49,11.98,9.65,2.3
1985,2,23,8.83,7.65,10.3,8.91,0.58
1985,2,24,6.74,4.57,7.41,6.08,0.8
1985,2,25,3.23,3.23,5.15,4.26,1.24
1985,2,26,0.05,4.5,10.93,7.74,4.09
1985,2,27,0.0,6.49,11.49,9.01,2.62
1985,2,28,0.01,7.81,10.83,9.37,1.54
1985,3,1,0.0,7.33,12.4,9.94,2.34
1985,3,2,0.07,8.33,13.39,10.8,4.14
1985,3,3,0.09,10.35,12.99,11.42,3.49
1985,3,4,1.76,10.96,14.3,12.52,3.21
1985,3,5,0.1,11.37,14.08,12.4,5.01
1985,3,6,0.0,10.48,14.84,12.34,5.11
1985,3,7,0.0,9.44,15.42,11.94,4.64
1985,3,8,0.0,7.98,13.53,10.44,1.54
1985,3,9,0.0,8.18,14.32,11.04,1.32
1985,3,10,0.3,8.74,12.95,10.54,4.42
1985,3,11,0.01,7.98,14.19,10.76,1.5
1985,3,12,0.01,8.91,14.44,11.5,1.59
1985,3,13,0.02,10.14,15.73,12.59,1.66
1985,3,14,0.11,11.51,16.47,13.33,5.32
1985,3,15,1.04,10.69,17.04,13.82,3.51
1985,3,16,0.66,12.26,17.27,14.65,4.76
1985,3,17,0.0,10.33,16.37,13.48,5.65
1985,3,18,0.0,11.16,15.63,13.05,5.64
1985,3,19,9.61,10.41,14.81,11.92,2.17
1985,3,20,0.01,9.63,15.08,12.25,5.66
1985,3,21,0.23,10.26,14.34,12.52,5.17
1985,3,22,15.51,11.68,14.05,12.97,0.22
1985,3,23,3.58,11.15,15.06,13.05,4.12
1985,3,24,0.0,10.97,17.79,14.48,5.74
1985,3,25,0.0,12.9,17.33,14.67,4.72
1985,3,26,0.03,12.86,16.45,14.27,1.74
1985,3,27,0.0,11.63,18.46,14.76,5.14
1985,3,28,0.01,11.63,17.48,14.45,5.46
1985,3,29,2.63,12.2,17.32,14.61,5.17
1985,3,30,2.25,12.21,16.36,13.94,0.66
1985,3,31,0.61,10.32,14.46,12.22,1.74
1985,4,1,0.0,10.23,17.44,13.65,6.34
1985,4,2,0.0,10.67,16.44,13.37,6.18
1985,4,3,0.0,10.49,17.52,13.76,6.13
1985,4,4,0.0,10.72,16.52,13.51,6.47
1985,4,5,0.0,11.01,18.43,14.91,6.47
1985,4,6,0.0,13.11,20.75,16.92,6.57
1985,4,7,0.0,13.16,18.74,15.68,6.14
1985,4,8,0.0,13.05,21.9,17.06,6.65
1985,4,9,0.0,13.57,23.26,18.13,6.82
1985,4,10,0.0,15.8,28.06,20.87,6.89
1985,4,11,0.0,15.91,24.26,19.94,6.93
1985,4,12,0.0,14.86,24.74,19.41,6.9
1985,4,13,0.0,12.05,17.44,14.78,6.5
1985,4,14,0.0,11.04,18.23,14.84,5.34
1985,4,15,0.0,12.48,16.94,14.62,5.75
1985,4,16,0.0,13.51,17.7,15.44,5.46
1985,4,17,0.01,13.89,18.21,15.56,6.51
1985,4,18,0.03,12.63,18.55,15.55,5.27
1985,4,19,1.92,12.19,16.76,14.71,4.23
1985,4,20,24.84,12.66,15.57,13.86,0.42
1985,4,21,0.94,11.84,16.56,13.95,5.75
1985,4,22,0.94,11.37,17.35,14.26,6.66
1985,4,23,0.0,12.17,18.02,14.83,7.1
1985,4,24,0.0,13.34,19.87,16.61,7.03
1985,4,25,0.0,13.37,21.21,17.21,7.26
1985,4,26,0.01,15.07,23.57,18.69,6.99
1985,4,27,0.0,14.34,25.67,19.38,5.63
1985,4,28,0.02,18.12,25.8,22.37,3.75
1985,4,29,0.08,16.8,21.79,19.04,6.28
1985,4,30,0.0,13.44,19.34,16.94,7.27
